Genes	T0	T1	T2	T3	T4	T5	T6	T12	T16	T24
RO3G_14505	5.32778495387439	5.6883943150616	5.04654608888466	4.81585746818944	4.39944607489721	4.42286217720243	4.25732527546171	4.15587006242558	4.0666004901667	3.9864768239626
RO3G_14506	4.01830751843237	4.28184809430176	6.2158946794619	6.32452770558352	6.39528550269462	6.22637313709494	6.38057296713056	6.5186048454708	6.0757086205045	5.83175439659003
RO3G_14509	4.07358926923401	4.69549043617844	4.30967712923705	4.00214830637155	3.98839049741892	4.02575240561891	3.82951775405072	3.99462573666812	4.65122523403977	5.37299417368532
RO3G_14507	4.71876756151537	5.69581269714028	5.05355755233901	4.89917570294571	4.94168858153231	5.07043776468091	5.05167612776143	4.7171564912053	5.52634900016386	4.95008705241514
RO3G_14508	6.24345121585246	7.51769993167352	8.17568482318036	7.70583571539155	7.45523923738944	6.83046471468455	6.40707439091577	6.07500829295412	4.83073218234621	3.75764078675086
RO3G_14510	2.9476806053534	2.90393072857026	3.45426962212233	3.17497152705688	2.99555759510192	3.31193105014036	3.53109449152909	4.43153626254218	3.75701290305448	3.42310971483497
RO3G_14511	5.48938623415943	6.45002537081182	5.67693307339921	5.66731491749875	5.55449519404336	5.52993793168346	5.30494094707338	4.47261364852378	4.89593039601479	4.40017770170407
RO3G_14513	6.69426541856636	6.67380877763942	5.87265500954569	5.51891986255847	5.33754890002513	5.0678148844905	4.61590814503294	3.92942407886152	4.17857828933264	3.9309861343922
RO3G_14498	11.3668070020523	10.9854863390978	11.3763578359775	11.3254523429029	11.0995376737447	10.9245357350123	10.7930416205372	11.25006669868	10.3444316539218	10.8576272626924
RO3G_14499	5.21388919265671	4.10718648765766	4.26065158316514	4.68265044713521	4.92090468032472	5.22602550685423	5.35895439954295	5.66896985249524	5.55733057275166	5.3156286158874
RO3G_14517	0	0	0	0	0	0	0	0	0	0
RO3G_14518	0	0	0	0	0	0	0	0	0	0
RO3G_14520	0	1.24573819074974	0	0	0	0	0	0	0	0
RO3G_14514	2.73881527092247	1.42893050746836	1.66363352659441	1.88607318806412	2.32497087838474	2.88774124085349	2.68439821694298	3.76770414588485	4.08441503694947	4.14658655394929
RO3G_14515	8.98522146382491	9.66867292682968	10.3158898465692	9.90121525579272	9.82338153131926	9.55524510751736	9.40589659611813	9.85158321199187	9.03205111662963	9.38289109481387
RO3G_14516	6.27236929637504	2.1738889166297	1.61716726012273	2.30928387797692	2.54449489641824	2.62888281153701	3.4119272026746	5.07732285562277	4.60614268790627	5.50017492132405
RO3G_14525	0	0	0	0	1.6188083025374	1.81305605026306	1.01769479787206	0	0	0
RO3G_14524	0	2.53689775346145	3.63317750152952	2.97924968580493	3.10141373072468	3.12992739914348	3.00526219968186	2.56200690102546	3.37794341461768	3.21655108190905
RO3G_14526	0	0	0	0	0	0	0	0	0	0
RO3G_14522	0	0	0	0	0	0	0	0	0	0
RO3G_14523	4.93796278856794	7.7290122996292	7.22981393866727	6.35948927817696	5.81755894222485	5.96198350265971	5.57955289923139	5.96795775502606	4.63668253566906	3.44637498054581
RO3G_14528	0	0	0	0	0	0	0	0	0	0
RO3G_14527	4.14726546970079	6.59060109731459	6.09700079319672	5.26750001704275	4.82886306420598	4.74675826203563	4.41938669113769	4.6201885216237	3.51977223813524	2.60672980321534
RO3G_14534	0	0	0	0	0	0	0	0	0	0
RO3G_14529	0	1.04710405270964	0	0	0	0	0	0	0	0
RO3G_14530	6.86943886749323	3.99376020091271	3.93086718876898	4.42556229641497	4.42064367069648	4.78805129902183	4.55042590466539	4.08922896143791	4.86028133519924	5.12078180206932
RO3G_14531	4.93710290272869	3.56579656304094	4.06548297886893	4.31413777854014	4.28375877001832	4.07952599472362	4.48962321633844	4.92918757358991	5.15832626330378	6.10962919457199
RO3G_14532	2.26989032907169	3.2894806208377	1.48983349772472	0	0	1.17386606427743	0	1.45808893647683	1.32602670637542	1.95114058769997
RO3G_14533	1.05943968580546	2.5329422183401	1.71942273757446	1.14185960062424	0	0	0	0	0	0
RO3G_14536	5.91629090309224	4.79357707675039	4.5500039985983	4.06316601188719	3.64413857477082	3.37309335378605	3.24709125685579	4.66817025149464	4.16088134700505	4.82613435934714
RO3G_14537	8.73366562682554	4.98602061743953	4.92097256337316	5.12799338133932	5.35025438132327	5.66888445834252	6.28003812621645	8.46785862835565	8.34621064865433	8.90639612578363
RO3G_14543	5.09756351119664	5.54636138265338	5.1272779863133	5.68625428578752	5.33733016124668	5.36261769472648	5.16628280670612	3.84869734461751	4.76380821514006	4.03218422181098
RO3G_14544	4.68435411231798	1.83090278649903	2.18560250946722	2.69270230701262	2.37456528131703	3.01955300495269	3.31525309063976	3.3378919231802	3.97305475196361	4.61135229905363
RO3G_14545	0	0	0	0	0	0	0	0	0	0
RO3G_14548	0	0	0	0	0	0	0	0	0	0
RO3G_14550	1.0142593726054	1.33062217171144	1.16432258356646	1.33703378695348	1.28111276637295	1.20333204301287	1.18783553778585	0	1.06505104207025	0
RO3G_14554	0	0	0	0	0	0	0	0	0	0
RO3G_14560	0	0	0	0	0	0	0	0	0	0
